threshold,precision,recall
0.007461,0.06463793869391382,1.0
0.007462,0.06468104023116249,1.0
0.007465,0.06470980653769179,1.0
0.007469,0.06475300400534045,1.0
0.007471,0.06476741598041398,1.0
0.007474,0.06478183437221728,1.0
0.007481,0.06481069042316258,1.0
0.007483,0.06482512809088883,1.0
0.007484,0.06486847971466786,1.0
0.007488,0.06488294314381271,1.0
0.007489,0.06489741302408564,1.0
0.00749,0.0649118893598037,1.0
0.007491,0.06492637215528782,1.0
0.007493,0.06496985934360348,1.0
0.007494,0.06498436802143814,1.0
0.007495,0.06501340482573727,1.0
0.007499,0.06502793296089386,1.0
0.0075,0.06504246759052303,1.0
0.007501,0.06505700871898056,1.0
0.007502,0.06508611048982331,1.0
0.007503,0.06510067114093959,1.0
0.007505,0.06512981199641898,1.0
0.007506,0.0651443922095366,1.0
0.007507,0.06517357222844344,1.0
0.007508,0.06518817204301075,1.0
